"id_q","reputation_a","votecount"
82612,1871,1
82864,21,2
82956,9775,1
83058,45,3
83058,109,1
83443,1949,2
83749,5088,1
83808,2663,13
83808,1498,3
84165,383,1
84174,6373,1
84346,76,1
84782,2818,1
84842,18190,1
84859,1,1
84978,86389,1
84992,27818,3
85006,13170,2
85033,5626,4
85137,23,5
85403,9174,1
85470,6825,1
85517,1019,2
85517,2506,2
85675,173,1
85892,2646,8
85923,2964,2
86002,131,7
86002,6849,4
86033,747,2
86096,51,1
86262,2170,1
86262,784,1
86417,1387,2
86417,6946,1
86539,585,2
86669,18,4
86669,141,2
86751,4818,1
86800,3184,5
86800,743,1
86943,6315,2
86963,921,7
86963,13,1
87010,2265,1
87023,389,2
87101,14024,3
87134,35329,1
87179,86,3
87179,2008,2
87190,1249,1
87190,484,1
87221,3448,3
87230,51,2
87371,198,1
87535,3483,1
87535,1333,1
87590,1784,1
87666,612,1
87666,4155,6
87695,133,2
87695,450,4
87758,2627,1
87802,1650,1
87877,87459,1
87877,22499,4
87883,23,1
87883,2921,2
87904,9143,4
87986,188,4
88094,56,2
88094,31,1
88192,180,1
88276,6714,1
88289,6298,1
88306,15563,4
88306,11,5
88326,632,34
88361,39097,1
88403,95,2
88448,983,2
88454,2566,1
88454,29916,1
88460,8064,1
88570,1453,1
88646,426,3
88797,98,1
88797,98,2
88918,6224,2
88918,561,4
88929,1427,5
89005,107,6
89051,1280,7
89188,833,2
89246,1442,1
89588,1186,5
89752,78,1
89752,2646,1
89866,447,1
90023,1360,1
90029,5380,1
90049,1019,2
90078,95,7
90078,842,2
90181,31,1
90181,46,1
90288,101,3
90288,1788,2
90374,43,1
90374,616,1
90662,711,2
90662,868,1
90885,23938,3
90949,5585,8
91086,11,1
91110,225,1
91110,947,4
91124,13376,1
91127,349,3
91158,52,1
91160,13376,2
91181,2584,1
91183,5505,3
91183,839,3
91211,691,3
91211,6,1
91223,3746,1
91234,19738,5
91305,1379,9
91307,4142,5
91357,537,1
91357,346,1
91826,401,3
91826,1,3
91857,535,1
91857,1136,6
92008,34070,1
92027,129,1
92114,10,9
92114,31,5
92262,711,2
92413,112,1
92426,218,3
92426,238,7
92601,123,1
92742,2792,1
92768,11,1
92820,2663,3
92820,17697,5
92826,389,11
92927,1400,1
93060,1338,1
93085,1070,5
93150,570,2
93153,96,3
93153,81,2
93159,16,3
93183,356,2
93183,68,1
93214,407,3
93222,777,1
93222,11146,1
93361,11434,6
93462,459,2
93462,1428,1
93474,835,4
93570,367,4
93570,164,2
93638,18190,1
93716,1545,2
93720,1337,1
93767,10244,1
93773,835,2
93790,28,5
93799,1262,1
93848,3502,1
93848,342,1
93976,61,13
93976,264,10
94007,8050,1
94023,4717,1
94023,2895,4
94177,14813,7
94177,2329,11
94178,573,1
94263,1997,4
94380,41,4
94420,60,1
94420,34280,1
94582,574,2
94632,4722,3
94632,7323,1
94660,839,2
94724,43734,2
94724,1061,1
94779,19375,1
94866,173,1
94866,533,1
95007,318,1
95007,2670,6
95134,1336,4
95134,3019,1
95222,2726,4
95378,527,1
95426,910,2
95554,5193,1
95554,41,4
95732,9,1
95760,834,12
95834,1145,1
95850,1016,1
95850,41,1
95890,447,10
96003,2895,10
96123,28,1
96185,8,1
96185,1832,1
96249,144,4
96250,387,1
96326,340,1
96326,56,1
96390,4800,4
96390,3063,2
96414,41,1
96414,339,1
96463,6740,1
96538,1068,1
96538,13309,3
96653,14232,1
96718,5697,3
96718,13,9
96719,910,1
96811,2663,1
96842,374,1
96842,31,4
96871,349,1
96923,52549,6
96923,3365,4
97092,1734,1
97173,7680,2
97283,756,5
97370,3676,1
97474,41,2
97474,5193,1
97528,3365,1
